Detector Type,Descriptor Type,No. of Keypoints,Image
SHITOMASI,BRISK,752,0001.png
SHITOMASI,BRISK,731,0002.png
SHITOMASI,BRISK,708,0003.png
SHITOMASI,BRISK,697,0004.png
SHITOMASI,BRISK,703,0005.png
SHITOMASI,BRISK,685,0006.png
SHITOMASI,BRISK,715,0007.png
SHITOMASI,BRISK,753,0008.png
SHITOMASI,BRISK,715,0009.png
SHITOMASI,BRIEF,1003,0001.png
SHITOMASI,BRIEF,981,0002.png
SHITOMASI,BRIEF,992,0003.png
SHITOMASI,BRIEF,987,0004.png
SHITOMASI,BRIEF,931,0005.png
SHITOMASI,BRIEF,947,0006.png
SHITOMASI,BRIEF,973,0007.png
SHITOMASI,BRIEF,1003,0008.png
SHITOMASI,BRIEF,971,0009.png
SHITOMASI,ORB,898,0001.png
SHITOMASI,ORB,876,0002.png
SHITOMASI,ORB,915,0003.png
SHITOMASI,ORB,900,0004.png
SHITOMASI,ORB,891,0005.png
SHITOMASI,ORB,879,0006.png
SHITOMASI,ORB,870,0007.png
SHITOMASI,ORB,909,0008.png
SHITOMASI,ORB,878,0009.png
SHITOMASI,FREAK,730,0001.png
SHITOMASI,FREAK,723,0002.png
SHITOMASI,FREAK,751,0003.png
SHITOMASI,FREAK,717,0004.png
SHITOMASI,FREAK,712,0005.png
SHITOMASI,FREAK,713,0006.png
SHITOMASI,FREAK,700,0007.png
SHITOMASI,FREAK,726,0008.png
SHITOMASI,FREAK,686,0009.png
SHITOMASI,SIFT,1044,0001.png
SHITOMASI,SIFT,1050,0002.png
SHITOMASI,SIFT,1068,0003.png
SHITOMASI,SIFT,1045,0004.png
SHITOMASI,SIFT,1019,0005.png
SHITOMASI,SIFT,1032,0006.png
SHITOMASI,SIFT,1033,0007.png
SHITOMASI,SIFT,1078,0008.png
SHITOMASI,SIFT,1053,0009.png
HARRIS,BRISK,65,0001.png
HARRIS,BRISK,52,0002.png
HARRIS,BRISK,67,0003.png
HARRIS,BRISK,75,0004.png
HARRIS,BRISK,106,0005.png
HARRIS,BRISK,88,0006.png
HARRIS,BRISK,62,0007.png
HARRIS,BRISK,119,0008.png
HARRIS,BRISK,121,0009.png
HARRIS,BRIEF,82,0001.png
HARRIS,BRIEF,77,0002.png
HARRIS,BRIEF,85,0003.png
HARRIS,BRIEF,93,0004.png
HARRIS,BRIEF,134,0005.png
HARRIS,BRIEF,133,0006.png
HARRIS,BRIEF,67,0007.png
HARRIS,BRIEF,150,0008.png
HARRIS,BRIEF,143,0009.png
HARRIS,ORB,74,0001.png
HARRIS,ORB,67,0002.png
HARRIS,ORB,79,0003.png
HARRIS,ORB,89,0004.png
HARRIS,ORB,123,0005.png
HARRIS,ORB,119,0006.png
HARRIS,ORB,66,0007.png
HARRIS,ORB,143,0008.png
HARRIS,ORB,134,0009.png
HARRIS,FREAK,62,0001.png
HARRIS,FREAK,55,0002.png
HARRIS,FREAK,63,0003.png
HARRIS,FREAK,77,0004.png
HARRIS,FREAK,108,0005.png
HARRIS,FREAK,97,0006.png
HARRIS,FREAK,56,0007.png
HARRIS,FREAK,118,0008.png
HARRIS,FREAK,117,0009.png
HARRIS,SIFT,90,0001.png
HARRIS,SIFT,77,0002.png
HARRIS,SIFT,90,0003.png
HARRIS,SIFT,95,0004.png
HARRIS,SIFT,141,0005.png
HARRIS,SIFT,120,0006.png
HARRIS,SIFT,72,0007.png
HARRIS,SIFT,154,0008.png
HARRIS,SIFT,160,0009.png
FAST,BRISK,999,0001.png
FAST,BRISK,988,0002.png
FAST,BRISK,989,0003.png
FAST,BRISK,953,0004.png
FAST,BRISK,1005,0005.png
FAST,BRISK,963,0006.png
FAST,BRISK,938,0007.png
FAST,BRISK,950,0008.png
FAST,BRISK,957,0009.png
FAST,BRIEF,1284,0001.png
FAST,BRIEF,1310,0002.png
FAST,BRIEF,1293,0003.png
FAST,BRIEF,1271,0004.png
FAST,BRIEF,1219,0005.png
FAST,BRIEF,1227,0006.png
FAST,BRIEF,1223,0007.png
FAST,BRIEF,1212,0008.png
FAST,BRIEF,1222,0009.png
FAST,ORB,1197,0001.png
FAST,ORB,1179,0002.png
FAST,ORB,1200,0003.png
FAST,ORB,1186,0004.png
FAST,ORB,1174,0005.png
FAST,ORB,1128,0006.png
FAST,ORB,1126,0007.png
FAST,ORB,1157,0008.png
FAST,ORB,1144,0009.png
FAST,FREAK,934,0001.png
FAST,FREAK,939,0002.png
FAST,FREAK,938,0003.png
FAST,FREAK,922,0004.png
FAST,FREAK,934,0005.png
FAST,FREAK,909,0006.png
FAST,FREAK,889,0007.png
FAST,FREAK,897,0008.png
FAST,FREAK,912,0009.png
FAST,SIFT,1409,0001.png
FAST,SIFT,1412,0002.png
FAST,SIFT,1391,0003.png
FAST,SIFT,1362,0004.png
FAST,SIFT,1357,0005.png
FAST,SIFT,1374,0006.png
FAST,SIFT,1379,0007.png
FAST,SIFT,1334,0008.png
FAST,SIFT,1341,0009.png
BRISK,BRISK,1501,0001.png
BRISK,BRISK,1487,0002.png
BRISK,BRISK,1478,0003.png
BRISK,BRISK,1397,0004.png
BRISK,BRISK,1450,0005.png
BRISK,BRISK,1370,0006.png
BRISK,BRISK,1403,0007.png
BRISK,BRISK,1373,0008.png
BRISK,BRISK,1381,0009.png
BRISK,BRIEF,1689,0001.png
BRISK,BRIEF,1739,0002.png
BRISK,BRIEF,1746,0003.png
BRISK,BRIEF,1674,0004.png
BRISK,BRIEF,1666,0005.png
BRISK,BRIEF,1622,0006.png
BRISK,BRIEF,1660,0007.png
BRISK,BRIEF,1646,0008.png
BRISK,BRIEF,1601,0009.png
BRISK,ORB,1435,0001.png
BRISK,ORB,1448,0002.png
BRISK,ORB,1411,0003.png
BRISK,ORB,1377,0004.png
BRISK,ORB,1425,0005.png
BRISK,ORB,1365,0006.png
BRISK,ORB,1349,0007.png
BRISK,ORB,1354,0008.png
BRISK,ORB,1362,0009.png
BRISK,FREAK,1333,0001.png
BRISK,FREAK,1343,0002.png
BRISK,FREAK,1358,0003.png
BRISK,FREAK,1297,0004.png
BRISK,FREAK,1369,0005.png
BRISK,FREAK,1322,0006.png
BRISK,FREAK,1296,0007.png
BRISK,FREAK,1308,0008.png
BRISK,FREAK,1285,0009.png
BRISK,SIFT,1677,0001.png
BRISK,SIFT,1699,0002.png
BRISK,SIFT,1648,0003.png
BRISK,SIFT,1625,0004.png
BRISK,SIFT,1688,0005.png
BRISK,SIFT,1607,0006.png
BRISK,SIFT,1645,0007.png
BRISK,SIFT,1572,0008.png
BRISK,SIFT,1580,0009.png
ORB,BRISK,296,0001.png
ORB,BRISK,298,0002.png
ORB,BRISK,309,0003.png
ORB,BRISK,299,0004.png
ORB,BRISK,313,0005.png
ORB,BRISK,310,0006.png
ORB,BRISK,306,0007.png
ORB,BRISK,315,0008.png
ORB,BRISK,313,0009.png
ORB,BRIEF,240,0001.png
ORB,BRIEF,245,0002.png
ORB,BRIEF,239,0003.png
ORB,BRIEF,250,0004.png
ORB,BRIEF,239,0005.png
ORB,BRIEF,246,0006.png
ORB,BRIEF,259,0007.png
ORB,BRIEF,251,0008.png
ORB,BRIEF,246,0009.png
ORB,ORB,351,0001.png
ORB,ORB,343,0002.png
ORB,ORB,339,0003.png
ORB,ORB,317,0004.png
ORB,ORB,334,0005.png
ORB,ORB,344,0006.png
ORB,ORB,341,0007.png
ORB,ORB,335,0008.png
ORB,ORB,327,0009.png
ORB,FREAK,121,0001.png
ORB,FREAK,114,0002.png
ORB,FREAK,120,0003.png
ORB,FREAK,127,0004.png
ORB,FREAK,119,0005.png
ORB,FREAK,129,0006.png
ORB,FREAK,130,0007.png
ORB,FREAK,128,0008.png
ORB,FREAK,136,0009.png
ORB,SIFT,377,0001.png
ORB,SIFT,370,0002.png
ORB,SIFT,374,0003.png
ORB,SIFT,362,0004.png
ORB,SIFT,364,0005.png
ORB,SIFT,371,0006.png
ORB,SIFT,379,0007.png
ORB,SIFT,375,0008.png
ORB,SIFT,369,0009.png
AKAZE,BRISK,895,0001.png
AKAZE,BRISK,883,0002.png
AKAZE,BRISK,897,0003.png
AKAZE,BRISK,907,0004.png
AKAZE,BRISK,904,0005.png
AKAZE,BRISK,945,0006.png
AKAZE,BRISK,939,0007.png
AKAZE,BRISK,945,0008.png
AKAZE,BRISK,928,0009.png
AKAZE,BRIEF,949,0001.png
AKAZE,BRIEF,968,0002.png
AKAZE,BRIEF,985,0003.png
AKAZE,BRIEF,988,0004.png
AKAZE,BRIEF,979,0005.png
AKAZE,BRIEF,1005,0006.png
AKAZE,BRIEF,1011,0007.png
AKAZE,BRIEF,1003,0008.png
AKAZE,BRIEF,983,0009.png
AKAZE,ORB,879,0001.png
AKAZE,ORB,889,0002.png
AKAZE,ORB,875,0003.png
AKAZE,ORB,877,0004.png
AKAZE,ORB,883,0005.png
AKAZE,ORB,916,0006.png
AKAZE,ORB,886,0007.png
AKAZE,ORB,916,0008.png
AKAZE,ORB,872,0009.png
AKAZE,FREAK,832,0001.png
AKAZE,FREAK,855,0002.png
AKAZE,FREAK,848,0003.png
AKAZE,FREAK,847,0004.png
AKAZE,FREAK,872,0005.png
AKAZE,FREAK,873,0006.png
AKAZE,FREAK,873,0007.png
AKAZE,FREAK,934,0008.png
AKAZE,FREAK,902,0009.png
AKAZE,AKAZE,1011,0001.png
AKAZE,AKAZE,1025,0002.png
AKAZE,AKAZE,1021,0003.png
AKAZE,AKAZE,1027,0004.png
AKAZE,AKAZE,1022,0005.png
AKAZE,AKAZE,1039,0006.png
AKAZE,AKAZE,1026,0007.png
AKAZE,AKAZE,1043,0008.png
AKAZE,AKAZE,999,0009.png
AKAZE,SIFT,1033,0001.png
AKAZE,SIFT,1051,0002.png
AKAZE,SIFT,1025,0003.png
AKAZE,SIFT,1057,0004.png
AKAZE,SIFT,1055,0005.png
AKAZE,SIFT,1067,0006.png
AKAZE,SIFT,1057,0007.png
AKAZE,SIFT,1058,0008.png
AKAZE,SIFT,1046,0009.png
SIFT,BRISK,566,0001.png
SIFT,BRISK,561,0002.png
SIFT,BRISK,564,0003.png
SIFT,BRISK,538,0004.png
SIFT,BRISK,546,0005.png
SIFT,BRISK,543,0006.png
SIFT,BRISK,554,0007.png
SIFT,BRISK,529,0008.png
SIFT,BRISK,563,0009.png
SIFT,BRIEF,702,0001.png
SIFT,BRIEF,653,0002.png
SIFT,BRIEF,666,0003.png
SIFT,BRIEF,639,0004.png
SIFT,BRIEF,647,0005.png
SIFT,BRIEF,653,0006.png
SIFT,BRIEF,671,0007.png
SIFT,BRIEF,619,0008.png
SIFT,BRIEF,673,0009.png
SIFT,FREAK,539,0001.png
SIFT,FREAK,522,0002.png
SIFT,FREAK,537,0003.png
SIFT,FREAK,510,0004.png
SIFT,FREAK,518,0005.png
SIFT,FREAK,511,0006.png
SIFT,FREAK,545,0007.png
SIFT,FREAK,518,0008.png
SIFT,FREAK,537,0009.png
SIFT,SIFT,803,0001.png
SIFT,SIFT,781,0002.png
SIFT,SIFT,759,0003.png
SIFT,SIFT,754,0004.png
SIFT,SIFT,755,0005.png
SIFT,SIFT,738,0006.png
SIFT,SIFT,743,0007.png
SIFT,SIFT,814,0008.png
SIFT,SIFT,815,0009.png
